date,regime,n_holdings,turnover,nav,holdings
2025-07-25,RISK_ON,10,0.4,191146796.0,"064350(현대로템),087010(087010),079550(079550),006800(006800),012450(한화에어로스페이스),272210(272210),071050(071050),042660(042660),329180(329180),009540(009540)"
2025-08-01,RISK_ON,10,0.3,194250899.0,"064350(현대로템),087010(087010),042660(042660),079550(079550),272210(272210),012450(한화에어로스페이스),006800(006800),329180(329180),071050(071050),122870(122870)"
2025-08-08,RISK_ON,10,0.1,192670187.0,"087010(087010),064350(현대로템),042660(042660),006800(006800),012450(한화에어로스페이스),122870(122870),272210(272210),079550(079550),071050(071050),329180(329180)"
2025-08-22,RISK_ON,10,0.6,191396369.0,"087010(087010),064350(현대로템),042660(042660),122870(122870),006800(006800),079550(079550),272210(272210),012450(한화에어로스페이스),035720(카카오),329180(329180)"
2025-08-29,RISK_ON,10,0.4,192126008.0,"087010(087010),064350(현대로템),042660(042660),006800(006800),122870(122870),329180(329180),009540(009540),272210(272210),079550(079550),071050(071050)"
2025-09-05,RISK_ON,10,0.2,192978940.0,"087010(087010),064350(현대로템),042660(042660),006800(006800),272210(272210),122870(122870),329180(329180),009540(009540),012450(한화에어로스페이스),079550(079550)"
2025-09-12,RISK_ON,10,0.2,200202602.0,"087010(087010),064350(현대로템),042660(042660),006800(006800),012450(한화에어로스페이스),329180(329180),122870(122870),009540(009540),071050(071050),272210(272210)"
2025-09-19,RISK_ON,10,0.2,200559512.0,"087010(087010),064350(현대로템),006800(006800),042660(042660),122870(122870),071050(071050),012450(한화에어로스페이스),000660(SK하이닉스),009540(009540),329180(329180)"
2025-09-26,RISK_ON,10,0.6,194948507.0,"087010(087010),064350(현대로템),042660(042660),012450(한화에어로스페이스),272210(272210),122870(122870),006800(006800),329180(329180),009540(009540),079550(079550)"
2025-10-10,RISK_ON,10,0.6,199503616.0,"087010(087010),064350(현대로템),012450(한화에어로스페이스),240810(240810),000660(SK하이닉스),042660(042660),006800(006800),272210(272210),122630(122630),329180(329180)"
2025-10-17,RISK_ON,10,0.3,191642354.0,"087010(087010),000660(SK하이닉스),064350(현대로템),122630(122630),042660(042660),006800(006800),240810(240810),329180(329180),009540(009540),012450(한화에어로스페이스)"
2025-10-24,RISK_ON,10,0.2,215713728.0,"042660(042660),000660(SK하이닉스),064350(현대로템),122630(122630),006800(006800),240810(240810),329180(329180),087010(087010),071050(071050),009540(009540)"
2025-10-31,RISK_ON,10,0.4,226803067.0,"000660(SK하이닉스),042660(042660),122630(122630),006800(006800),240810(240810),064350(현대로템),010140(010140),071050(071050),329180(329180),272210(272210)"
2025-11-07,RISK_ON,10,0.6,209740456.0,"000660(SK하이닉스),042660(042660),240810(240810),122630(122630),064350(현대로템),087010(087010),006800(006800),010140(010140),071050(071050),396500(396500)"
2025-11-14,RISK_OFF,10,0.6,212289606.0,"000660(SK하이닉스),042660(042660),240810(240810),122630(122630),087010(087010),064350(현대로템),329180(329180),010140(010140),006800(006800),071050(071050)"
2025-11-21,RISK_OFF,10,0.35,207911605.0,"087010(087010),000660(SK하이닉스),042660(042660),122630(122630),240810(240810),010140(010140),064350(현대로템),006800(006800),329180(329180),071050(071050)"
2025-11-28,RISK_OFF,10,0.4,206870839.0,"000660(SK하이닉스),240810(240810),122630(122630),087010(087010),058470(058470),006800(006800),396500(396500),005930(삼성전자),042660(042660),071050(071050)"
2025-12-05,RISK_OFF,10,0.25,207393472.0,"000660(SK하이닉스),122630(122630),240810(240810),039030(039030),042660(042660),307950(307950),396500(396500),005930(삼성전자),064350(현대로템),006800(006800)"
2025-12-12,RISK_ON,10,0.8,209024827.0,"000660(SK하이닉스),122630(122630),240810(240810),086520(086520),042660(042660),064350(현대로템),307950(307950),087010(087010),066970(066970),039030(039030)"
2025-12-19,RISK_ON,10,0.6,190326497.0,"000660(SK하이닉스),122630(122630),240810(240810),307950(307950),086520(086520),042660(042660),064350(현대로템),005930(삼성전자),396500(396500),010140(010140)"
2025-12-26,RISK_ON,10,0.2,199556688.0,"000660(SK하이닉스),240810(240810),122630(122630),042660(042660),005930(삼성전자),064350(현대로템),307950(307950),086520(086520),396500(396500),011210(011210)"
2026-01-02,RISK_ON,10,0.2,216288583.0,"240810(240810),000660(SK하이닉스),122630(122630),307950(307950),005930(삼성전자),042660(042660),064350(현대로템),396500(396500),204320(204320),011210(011210)"
2026-01-09,RISK_ON,10,0.1,239273331.0,"307950(307950),000660(SK하이닉스),122630(122630),240810(240810),042660(042660),064350(현대로템),005930(삼성전자),012450(한화에어로스페이스),011210(011210),396500(396500)"
2026-01-16,RISK_ON,10,0.4,248302652.0,"307950(307950),122630(122630),000660(SK하이닉스),240810(240810),042660(042660),272210(272210),005930(삼성전자),006800(006800),012450(한화에어로스페이스),064350(현대로템)"
2026-01-23,RISK_ON,10,0.6,249027526.0,"122630(122630),307950(307950),000660(SK하이닉스),006800(006800),240810(240810),005380(현대차),272210(272210),005930(삼성전자),047810(047810),000990(000990)"
2026-01-30,RISK_ON,10,0.5,279230746.0,"240810(240810),122630(122630),000660(SK하이닉스),006800(006800),307950(307950),086520(086520),000990(000990),396500(396500),005930(삼성전자),272210(272210)"
2026-02-06,RISK_OFF,10,0.5,271954444.0,"006800(006800),240810(240810),122630(122630),000660(SK하이닉스),272210(272210),086520(086520),307950(307950),000990(000990),005930(삼성전자),396500(396500)"
2026-02-13,RISK_OFF,10,0.15,281121781.0,"006800(006800),122630(122630),240810(240810),000660(SK하이닉스),307950(307950),005930(삼성전자),272210(272210),047810(047810),086520(086520),396500(396500)"
2026-02-20,RISK_OFF,10,0.1,292157703.0,"006800(006800),122630(122630),240810(240810),000660(SK하이닉스),272210(272210),005930(삼성전자),307950(307950),086520(086520),071050(071050),396500(396500)"
2026-02-27,RISK_OFF,10,0.2,303746683.0,"006800(006800),122630(122630),000660(SK하이닉스),240810(240810),042700(042700),307950(307950),005930(삼성전자),005380(현대차),086520(086520),396500(396500)"
2026-03-06,DEFENSIVE,0,0.0,273164785.0,
2026-03-13,RISK_OFF,10,0.5,272891620.0,"006800(006800),272210(272210),122630(122630),000660(SK하이닉스),240810(240810),042700(042700),005930(삼성전자),396500(396500),307950(307950),058470(058470)"
2026-03-20,RISK_OFF,10,0.1,278236506.0,"006800(006800),122630(122630),000660(SK하이닉스),240810(240810),042700(042700),272210(272210),005930(삼성전자),396500(396500),036930(036930),307950(307950)"
2026-03-27,RISK_OFF,10,0.3,266951981.0,"006800(006800),240810(240810),122630(122630),000660(SK하이닉스),042700(042700),272210(272210),005930(삼성전자),396500(396500),086520(086520),036930(036930)"
2026-04-03,RISK_OFF,10,0.3,261178420.0,"006800(006800),240810(240810),122630(122630),272210(272210),000660(SK하이닉스),042700(042700),005930(삼성전자),079550(079550),086520(086520),058470(058470)"
2026-04-10,RISK_OFF,10,0.1,271877448.0,"006800(006800),122630(122630),000660(SK하이닉스),240810(240810),272210(272210),042700(042700),005930(삼성전자),079550(079550),086520(086520),066970(066970)"
